"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table1"	"163"	"jiménez-jiménez1998"	"Biofluid"	"Blood"	"GABA"	32	3.5	2.6	37	1.7	1.4	"N/A"	-0.870417115282079	0.0640823333094151	-1.36657197471824	-0.374262255845922	32	37	43.0687435687113
"table1"	"132"	"oishi1996"	"Biofluid"	"Blood"	"GABA"	10	203.3	45.6	10	145.2	51.3	"N/A"	-1.14640340175373	0.240409141453694	-2.10740382683833	-0.18540297666912	10	10	27.6405423836307
"table1"	"46"	"weiner1996"	"Biofluid"	"Blood"	"GABA"	10	175.3	35.7	9	183.4	35	"N/A"	0.218713517718286	0.212678212302336	-0.68516401525743	1.122591050694	10	9	29.290714047658
"table10"	"198"	"sasaki1986"	"Brain"	"Putamen"	"GABA"	10	27.52	9.03	9	38.43	19.31	"N/A"	0.704716109054098	0.22738061041178	-0.229881799953378	1.63931401806157	10	9	47.9178442446871
"table10"	"207"	"cross1984"	"Brain"	"Putamen"	"GABA"	13	54.8	34.25	12	40	19.74	"YES"	-0.506485087076109	0.166289813351125	-1.30573190145153	0.292761727299312	13	12	52.0821557553129
"table11"	"83"	"seidl2001"	"Brain"	"Striatum"	"GABA"	4	3.9	1.3	5	2	0.7	"N/A"	-1.68398085220046	0.718223943010213	-3.34501297142943	-0.0229487329714841	4	5	25.9751139245753
"table11"	"198"	"sasaki1986"	"Brain"	"Striatum"	"GABA"	9	19.25	3.07	9	25.33	5.41	"N/A"	0.977205609707294	0.0326986951629341	0.622789623952078	1.33162159546251	19	18	38.6984845061358
"table11"	"207"	"cross1984"	"Brain"	"Striatum"	"GABA"	13	54.8	34.25	12	40	19.74	"YES"	-0.506485087076109	0.166289813351125	-1.30573190145153	0.292761727299312	13	12	35.3264015692889
"table12"	"18"	"gueli2013"	"Brain"	"Temporal cortex"	"GABA"	13	0.9	0.28	13	0.6	0.16	"N/A"	-1.27396874042017	0.190304043875435	-2.12898052277118	-0.418956958069155	13	13	13.7001597503662
"table12"	"17"	"aisa2010"	"Brain"	"Temporal cortex"	"GABA"	16	579.94	126.88	19	457.44	138.17	"YES"	-0.898872413735932	0.128056625616799	-1.60024553413903	-0.197499293332834	16	19	15.8345054197962
