"ID"	"SMD"	"CI_lower"	"CI_upper"	"pvalue"	"zvalue"	"I2"	"tau2"	"logLik"	"deviance"	"AIC"	"BIC"	"AICc"	"sum_sample_size_c"	"sum_sample_size_t"	"sum_indiv_size_c"	"sum_indiv_size_t"
"table1"	-0.63	-1.35	0.1	0.089	-1.702	61.9	0.25	-2.581	5.368	9.161	7.358	21.161	52	56	52	56
"table10"	0.07	-1.11	1.26	0.903	0.122	73.17	0.54	-2.027	3.654	8.054	5.44	20.054	23	21	23	21
"table11"	-0.24	-1.68	1.2	0.746	-0.324	89.42	1.37	-4.558	9.149	13.117	11.314	25.117	36	35	26	26
"table12"	-0.67	-1.16	-0.18	0.008	-2.661	70.57	0.27	-5.634	12.066	15.267	15.159	18.267	83	87	77	80
"table13"	-0.83	-1.7	0.03	0.059	-1.891	62.81	0.26	-1.43	3.678	6.86	4.246	18.86	27	26	17	17
"table14"	0.85	-0.76	2.45	0.302	1.033	75.11	1.02	-2.636	3.914	9.272	6.659	21.272	23	12	23	12
"table15"	-0.83	-1.61	-0.06	0.034	-2.115	81.83	0.37	-2.711	7.254	9.422	7.62	21.422	46	41	29	24
"table16"	-1.15	-1.75	-0.55	0	-3.754	19.13	0.04	-0.716	1.488	5.432	2.819	17.432	33	31	18	13
"table17"	-0.95	-1.68	-0.21	0.011	-2.527	78.32	0.32	-2.743	7.155	9.486	7.683	21.486	44	39	29	23
"table18"	-0.5	-1.14	0.15	0.13	-1.515	0	0	-0.574	0.533	5.148	2.535	17.148	24	17	24	17
"table19"	-0.14	-4.82	4.54	0.952	-0.06	94.39	10.75	-4.771	6.78	13.541	10.928	25.541	15	11	15	11
"table2"	-0.11	-3.05	2.83	0.941	-0.074	88.88	4	-3.841	5.6	11.682	9.068	23.682	13	14	13	14
"table20"	-0.64	-2.01	0.73	0.358	-0.919	75.13	1.08	-4.725	6.964	13.45	11.647	25.45	29	18	29	18
"table21"	-1.14	-2.16	-0.12	0.029	-2.186	74.41	0.41	-1.733	4.097	7.466	4.852	19.466	21	21	17	17
"table22"	-1.17	-2.28	-0.06	0.038	-2.074	68.32	0.46	-1.912	3.788	7.825	5.211	19.825	24	26	15	16
"table23"	-0.58	-0.86	-0.29	0	-3.977	0	0	0.115	0.499	3.771	1.968	15.771	31	29	22	24
"table24"	0.01	-0.85	0.87	0.977	0.029	29.2	0.11	-1.382	1.694	6.763	4.15	18.763	13	20	13	20
"table25"	-0.37	-0.9	0.16	0.172	-1.365	84.31	0.22	-4.57	13.383	13.139	11.912	25.139	175	174	26	25
"table26"	-0.86	-2.73	1	0.366	-0.904	89.41	1.64	-2.937	7.459	9.875	7.261	21.875	57	56	15	14
"table27"	-0.68	-1.24	-0.13	0.016	-2.412	49.36	0.19	-4.722	7.999	13.443	12.662	19.443	42	49	37	43
"table28"	-0.38	-0.59	-0.16	0.001	-3.435	0	0	-0.053	1.247	4.106	2.303	16.106	163	170	19	26
"table29"	-0.89	-1.42	-0.37	0.001	-3.348	63.46	0.09	-0.398	3.162	4.797	2.183	16.797	144	144	12	12
"table3"	-1.15	-1.77	-0.53	0	-3.639	0	0	-1.531	0.925	7.062	5.259	19.062	21	33	21	33
"table30"	-0.16	-0.95	0.63	0.692	-0.396	0	0	-0.769	0.1	5.537	2.924	17.537	12	13	12	13
"table31"	-0.91	-1.94	0.12	0.085	-1.725	69.21	0.57	-3.319	5.244	10.637	8.834	22.637	21	30	16	24
"table32"	-0.31	-1.03	0.41	0.397	-0.847	49.55	0.16	-1.128	3.581	6.256	3.642	18.256	25	16	16	11
"table33"	-0.81	-1.15	-0.48	0	-4.758	32.11	0.06	-4.717	9.501	13.433	13.325	16.433	78	87	60	68
"table34"	-0.23	-0.95	0.5	0.54	-0.612	0	0	-0.607	0.099	5.214	2.6	17.214	13	19	13	19
"table35"	-0.44	-0.96	0.07	0.093	-1.679	90.22	0.33	-7.596	21.248	19.191	18.775	23.191	537	531	50	45
"table36"	-0.33	-1.08	0.41	0.38	-0.878	82.89	0.43	-3.836	9.517	11.672	10.445	23.672	170	169	26	25
"table37"	-0.55	-2.06	0.96	0.476	-0.713	92.78	1.61	-4.372	9.988	12.744	10.941	24.744	161	161	17	17
"table38"	-0.34	-1.46	0.79	0.555	-0.59	90.79	1.13	-5.264	11.41	14.528	13.301	26.528	170	169	26	25
"table39"	-0.65	-1.68	0.37	0.212	-1.248	91.87	0.51	-1.738	6.603	7.476	4.862	19.476	60	60	12	12
"table4"	-0.39	-0.97	0.2	0.192	-1.304	6.81	0.01	-0.646	1.153	5.293	2.679	17.293	25	26	25	26
"table40"	-0.42	-1.16	0.32	0.264	-1.118	92.29	0.37	-3.787	12.055	11.574	9.771	23.574	94	94	17	17
"table41"	-1.33	-2.24	-0.42	0.004	-2.854	76.56	0.34	-1.508	4.209	7.016	4.403	19.016	60	60	12	12
"table42"	-0.52	-1.36	0.32	0.223	-1.218	93.27	0.5	-3.258	10.82	10.516	8.713	22.516	279	279	17	17
"table43"	-0.51	-1.45	0.44	0.293	-1.052	88.34	0.57	-2.889	8.031	9.778	7.975	21.778	89	89	17	17
"table44"	-0.57	-2.04	0.91	0.449	-0.757	92.45	1.52	-4.304	9.933	12.608	10.805	24.608	89	89	17	17
"table45"	-0.57	-2.01	0.87	0.438	-0.775	93.59	1.45	-4.105	9.589	12.211	10.408	24.211	89	89	17	17
"table46"	-0.77	-1.56	0.02	0.057	-1.906	85.48	0.28	-1.217	5.244	6.433	3.82	18.433	36	36	12	12
"table47"	-0.15	-2.13	1.84	0.886	-0.144	88.66	1.83	-3.057	6.534	10.115	7.501	22.115	24	24	12	12
