"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table23"	"53"	"shimohama1988"	"Brain"	"Caudate"	"GABA A receptor"	7	512	82.01	6	449	188.61	"YES"	-0.415959749124636	0.318855594741178	-1.52269848836989	0.690778990120616	7	6	7.21105359140057
"table23"	"10"	"griffiths1994"	"Brain"	"Caudate"	"GABA A receptor"	9	80	8	5	76	4	"N/A"	-0.618644688991951	0.0247797272260378	-0.927173944860592	-0.31011543312331	18	10	92.7889464085994
"table25"	"96"	"kwakowsky2018"	"Brain"	"Dentate gyrus"	"GABA A receptor"	6	9410144.5	2644738.57018042	6	19994927.5	7946640.74726154	"YES"	-0.0618032988715314	0.0140480408785307	-0.294106916033003	0.17050031828994	144	144	57.4625833644537
"table25"	"20"	"jansen1990"	"Brain"	"Dentate gyrus"	"GABA A receptor"	9	276	78	8	300	107.48	"YES"	0.245093558148534	0.238375484305563	-0.711833610878889	1.20202072717596	9	8	3.38640830638047
"table25"	"79"	"howell2000"	"Brain"	"Dentate gyrus"	"GABA A receptor"	5	162	42.485291572496	5	148	53.665631459995	"YES"	-0.111224302066896	0.0206185422685134	-0.392658630227544	0.170210026093752	10	10	39.1510083291658
"table27"	"53"	"shimohama1988"	"Brain"	"Frontal cortex"	"GABA A receptor"	7	1300	285.74	7	903	82.01	"YES"	-1.76764313134366	0.437856179609573	-3.06456505781288	-0.470721204874443	7	7	38.9384932592467
"table27"	"210"	"cross1984"	"Brain"	"Frontal cortex"	"GABA A receptor"	14	214	41.15	12	186	41.56	"YES"	-0.655908609696726	0.164425987742318	-1.45066370465622	0.138846485262765	14	12	61.0615067407533
"table33"	"213"	"cross1986"	"Brain"	"Temporal cortex"	"GABA A receptor"	13	258	46.87	13	244	72.11	"YES"	-0.721792877262801	0.012977521375259	-0.945069866578169	-0.498515887947432	26	26	84.6642986393341
"table33"	"53"	"shimohama1988"	"Brain"	"Temporal cortex"	"GABA A receptor"	6	1099	142.07	7	911	126.99	"YES"	-1.30418439481001	0.401259876785982	-2.54572508809	-0.0626437015300263	6	7	2.73820735358321
"table33"	"210"	"cross1984"	"Brain"	"Temporal cortex"	"GABA A receptor"	13	196	43.26	14	172	67.34	"YES"	-0.407812895698836	0.151926985277804	-1.171763979013	0.356138187615331	13	14	7.2319788568449
"table33"	"S11"	"owen1983"	"Brain"	"Temporal cortex"	"GABA A receptor"	12	204.53	26.74	10	179.98	26.62	"N/A"	-0.884946384235558	0.204776748280092	-1.77187447937835	0.00198171090723209	12	10	5.36551515023781
"table35"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus "	"GABA A receptor"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	0.277711420076156	0.0171023735905854	0.0213950844977146	0.534027755654598	432	432	25.7004072576804
"table35"	"20"	"jansen1990"	"Brain"	"Hippocampus "	"GABA A receptor"	9	223	63	8	246	76.3675323681471	"YES"	0.31064394657826	0.00978266978402435	0.116789044314277	0.504498848842242	18	16	26.6809282447161
"table35"	"79"	"howell2000"	"Brain"	"Hippocampus "	"GABA A receptor"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.447733886219	0.0300232816434384	-0.787341306773042	-0.108126465664957	15	15	24.1347445959273
"table35"	"53"	"shimohama1988"	"Brain"	"Hippocampus "	"GABA A receptor"	7	1235	275.15	7	793	50.26	"YES"	-2.09165229475582	0.498743232811863	-3.47581326478302	-0.707491324728625	7	7	7.51877508557456
"table35"	"210"	"cross1984"	"Brain"	"Hippocampus "	"GABA A receptor"	17	154	53.6	13	135	39.66	"YES"	-0.384136691913905	0.138556521123507	-1.11369763538236	0.345424251554553	17	13	15.9651448161016
"table36"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	3.98383890345411e-05	0.0138888889550179	-0.230944132885803	0.231023809663872	144	144	91.5846523886055
"table36"	"20"	"jansen1990"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor"	9	223	63	8	246	76.3675323681471	"YES"	0.313795445482513	0.239822850565004	-0.646032458210094	1.27362334917512	9	8	5.30395274684002
"table36"	"79"	"howell2000"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.332900540663046	0.408822769973749	-1.5860868140543	0.920285732728209	5	5	3.11139486455448
"table37"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA2 "	"GABA A receptor"	6	22370689.5	1545711.31034744	6	21389655	10667949.1420565	"YES"	0.345471141127081	0.0188618184452075	0.0762929495129132	0.614649332741249	144	144	95.5314917323567
"table37"	"79"	"howell2000"	"Brain"	"Hippocampus - CA2 "	"GABA A receptor"	5	70	4.47213595499958	5	69	4.47213595499958	"YES"	-0.201850601761613	0.403243665431525	-1.44645653757462	1.04275533405139	5	5	4.46850826764329
"table38"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor"	6	3631609	1983523.30901353	6	15508620.5	3930445.11754553	"YES"	0.509722117202849	0.024714582087462	0.201598685183066	0.817845549222632	144	144	56.0540340532035
"table38"	"20"	"jansen1990"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor"	9	85	24	8	93	25.4558441227157	"YES"	0.307494386856037	0.239675282637384	-0.65203817048099	1.26702694419306	9	8	26.6059740536894
"table38"	"79"	"howell2000"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor"	5	97	35.7770876399966	5	62	38.0131556174964	"YES"	-0.855942981498213	0.458326460970545	-2.18283492368975	0.470948960693321	5	5	17.3399918931072
"table40"	"96"	"kwakowsky2018"	"Brain"	"Dentate gyrus "	"GABA A receptor α subunit"	6	9410144.5	2644738.57018042	6	19994927.5	7946640.74726154	"YES"	0.254517573859877	0.0165880220307021	0.0020850015802496	0.506950146139504	72	72	51.506543702086
"table40"	"79"	"howell2000"	"Brain"	"Dentate gyrus "	"GABA A receptor α subunit"	5	162	42.485291572496	5	148	53.665631459995	"YES"	-0.111224302066896	0.0206185422685134	-0.392658630227544	0.170210026093752	10	10	48.493456297914
"table42"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus "	"GABA A receptor α subunit"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	0.252811319036405	0.0165519540152609	0.000653333337662598	0.504969304735148	216	216	51.372486473195
"table42"	"79"	"howell2000"	"Brain"	"Hippocampus "	"GABA A receptor α subunit"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.447733886219	0.0300232816434384	-0.787341306773042	-0.108126465664957	15	15	48.627513526805
"table43"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA1"	"GABA A receptor α subunit"	6	18878571	3884190.17798768	6	18614285.5	2327015.25564402	"YES"	0.0232530553722081	0.0139114182465615	-0.207918180579886	0.254424291324302	72	72	96.7091807016774
"table43"	"79"	"howell2000"	"Brain"	"Hippocampus - CA1"	"GABA A receptor α subunit"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.332900540663046	0.408822769973749	-1.5860868140543	0.920285732728209	5	5	3.29081929832264
"table44"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA2 "	"GABA A receptor α subunit"	6	22370689.5	1545711.31034744	6	21389655	10667949.1420565	"YES"	0.290284347950178	0.0173999306665914	0.0317478570274388	0.548820838872917	72	72	95.8634980235066
"table44"	"79"	"howell2000"	"Brain"	"Hippocampus - CA2"	"GABA A receptor α subunit"	5	70	4.47213595499958	5	69	4.47213595499958	"YES"	-0.201850601761613	0.403243665431525	-1.44645653757462	1.04275533405139	5	5	4.13650197649337
"table45"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA3 "	"GABA A receptor α subunit"	6	3631609	1983523.30901353	6	15508620.5	3930445.11754553	"YES"	0.458675891239655	0.0226548711057427	0.163671222732792	0.753680559746517	72	72	62.6046130963506
"table45"	"79"	"howell2000"	"Brain"	"Hippocampus - CA3"	"GABA A receptor α subunit"	5	97	35.7770876399966	5	62	38.0131556174964	"YES"	-0.855942981498213	0.458326460970545	-2.18283492368975	0.470948960693321	5	5	37.3953869036494
"table56"	"96"	"kwakowsky2018"	"Brain"	"Dentate gyrus"	"GABA A receptor α5 subunit"	6	6246551.5	2263665.32717129	6	8281034	6702309.75588666	"YES"	0.0539595111439519	0.0140102067573428	-0.178031075578318	0.285950097866222	18	18	59.5416896322711
"table56"	"79"	"howell2000"	"Brain"	"Dentate gyrus"	"GABA A receptor α5 subunit"	5	162	42.485291572496	5	148	53.665631459995	"YES"	-0.111224302066896	0.0206185422685134	-0.392658630227544	0.170210026093752	10	10	40.4583103677289
"table57"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus "	"GABA A receptor α5 subunit"	6	6755797	2344764.25832023	6	17980434.5	7224218.86114686	"YES"	0.116831091428741	0.0144576182190735	-0.118834657109073	0.352496839966555	54	54	52.441798219787
"table57"	"79"	"howell2000"	"Brain"	"Hippocampus "	"GABA A receptor α5 subunit"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.447733886219	0.0300232816434384	-0.787341306773042	-0.108126465664957	15	15	47.558201780213
"table58"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor α5 subunit"	6	6755797	2344764.25832023	6	17980434.5	7224218.86114686	"YES"	1.03559579233746	0.0585746657683494	0.561241318884288	1.50995026579063	18	18	59.3510100024612
"table58"	"79"	"howell2000"	"Brain"	"Hippocampus - CA1 "	"GABA A receptor α5 subunit"	5	70	60.3738353924943	5	53	24.5967477524977	"YES"	-0.332900540663046	0.408822769973749	-1.5860868140543	0.920285732728209	5	5	40.6489899975388
"table59"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA2"	"GABA A receptor α5 subunit"	6	7352173.5	6608297.11481377	6	4784782.5	6959745.00412881	"YES"	-0.342877695612006	0.0187874353117305	-0.611524599737975	-0.074230791486037	18	18	95.5483291921749
"table59"	"79"	"howell2000"	"Brain"	"Hippocampus - CA2"	"GABA A receptor α5 subunit"	5	70	4.47213595499958	5	69	4.47213595499958	"YES"	-0.201850601761613	0.403243665431525	-1.44645653757462	1.04275533405139	5	5	4.45167080782512
"table60"	"96"	"kwakowsky2018"	"Brain"	"Hippocampus - CA3"	"GABA A receptor α5 subunit"	6	5497558	6233951.39538319	6	5230348.5	4728084.70993673	"YES"	-0.139358071440872	0.0146980835587105	-0.376975584966092	0.0982594420843471	18	18	93.1970417393172
"table60"	"79"	"howell2000"	"Brain"	"Hippocampus - CA3"	"GABA A receptor α5 subunit"	5	97	35.7770876399966	5	62	38.0131556174964	"YES"	-0.855942981498213	0.458326460970545	-2.18283492368975	0.470948960693321	5	5	6.80295826068285
"table7"	"15"	"liu2014"	"Brain"	"Hippocampus"	"GABA"	12	367.15	64.43	12	330.4	62.7	"YES"	-0.558122033026163	0.174354478827487	-1.37652019444845	0.260276128396121	12	12	29.8976699644644
"table7"	"162"	"yew1999"	"Brain"	"Hippocampus"	"GABA"	7	21.2	16.48	6	21.26	7.74	"YES"	0.00421343801022486	0.309524767016212	-1.08621154633199	1.09463842235244	7	6	16.8412780504164
"table7"	"198"	"sasaki1986"	"Brain"	"Hippocampus"	"GABA"	10	20.54	5.38	8	18.59	6.52	"N/A"	-0.314414133872612	0.228465398649586	-1.25123878174747	0.622410514002246	10	8	22.8165520714392
"table7"	"112"	"tarbit1980"	"Brain"	"Hippocampus"	"GABA"	7	1.15	0.52	8	0.94	0.25	"YES"	-0.496420186901236	0.278793276040163	-1.53129838717154	0.538458013369064	7	8	18.6976986635052
"table7"	"200"	"mohanakrishnan1997"	"Brain"	"Hippocampus"	"GABA"	4	1.42	0.56	12	0.89	0.18	"N/A"	-1.64588860251701	0.443762736237052	-2.95152878166791	-0.340248423366112	4	12	11.7468012501748
