"ID"	"SMD"	"CI_lower"	"CI_upper"	"pvalue"	"zvalue"	"I2"	"tau2"	"logLik"	"deviance"	"AIC"	"BIC"	"AICc"	"sum_sample_size_c"	"sum_sample_size_t"	"sum_indiv_size_c"	"sum_indiv_size_t"
"table23"	-0.6	-0.9	-0.31	0	-3.983	0	0	0.523	0.12	2.955	0.341	14.955	25	16	16	11
"table25"	-0.07	-0.25	0.11	0.431	-0.788	0	0	1.782	0.504	0.437	-1.366	12.437	163	162	20	19
"table27"	-1.09	-2.15	-0.03	0.045	-2.009	51.27	0.32	-1.831	2.618	7.663	5.049	19.663	21	19	21	19
"table33"	-0.72	-0.93	-0.52	0	-6.905	0	0	-0.124	1.624	4.247	3.02	16.247	57	57	44	44
"table35"	-0.17	-0.62	0.27	0.446	-0.762	85.47	0.18	-5.497	16.677	14.993	14.212	20.993	489	483	44	39
"table36"	0.01	-0.21	0.23	0.955	0.056	0	0	0.203	0.679	3.593	1.79	15.593	158	157	20	19
"table37"	0.32	0.06	0.58	0.017	2.391	0	0	0.247	0.71	3.507	0.893	15.507	149	149	11	11
"table38"	0.22	-0.43	0.87	0.507	0.664	49.08	0.17	-2.405	5.206	8.811	7.008	20.811	158	157	20	19
"table40"	0.08	-0.28	0.44	0.673	0.422	72.19	0.05	0.367	3.57	3.265	0.652	15.265	82	82	11	11
"table42"	-0.09	-0.77	0.6	0.802	-0.251	90.51	0.22	-0.933	5.796	5.865	3.251	17.865	231	231	11	11
"table43"	0.01	-0.22	0.24	0.921	0.099	0	0	0.597	0.3	2.806	0.193	14.806	77	77	11	11
"table44"	0.27	0.02	0.52	0.037	2.09	0	0	0.354	0.576	3.292	0.678	15.292	77	77	11	11
"table45"	-0.03	-1.28	1.21	0.959	-0.052	72.17	0.62	-2.159	5.21	8.318	5.704	20.318	77	77	11	11
"table56"	-0.01	-0.19	0.17	0.888	-0.141	0	0	1.843	0.788	0.314	-2.3	12.314	28	28	11	11
"table57"	-0.15	-0.7	0.4	0.591	-0.538	86.04	0.14	-0.5	5.067	5	2.387	17	69	69	11	11
"table58"	0.48	-0.84	1.8	0.476	0.713	75.04	0.7	-2.254	4.565	8.509	5.895	20.509	23	23	11	11
"table59"	-0.34	-0.6	-0.07	0.012	-2.512	0	0	0.58	0.047	2.84	0.226	14.84	23	23	11	11
"table60"	-0.19	-0.54	0.17	0.297	-1.043	7.88	0.02	-0.292	1.909	4.584	1.971	16.584	23	23	11	11
"table7"	-0.52	-0.97	-0.08	0.022	-2.295	0	0	-3.322	3.939	10.643	9.862	16.643	40	46	40	46
