TABLE ID	ID	STUDY	SAMPLE	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table1	142	zhang2019	Brain	Cortical region	GABA	11	1,41	0,3	11	1,23	0,27	
table1	107	huang2016	Brain	Cortical region	GABA	15	0,11	0,009	17	0,107	0,023	
table1	15	liu2014	Brain	Cortical region	GABA	12	242,4	50,92	12	266,9	60,96	
table1	18	gueli2013	Brain	Cortical region	GABA	13	0,9	0,28	13	0,6	0,16	
table1	17	aisa2010	Brain	Cortical region	GABA	16	704,39	253,64	19	555,33	139,35	
table1	17	aisa2010	Brain	Cortical region	GABA	16	579,94	126,88	19	457,44	138,17	
table1	130	garcia-alloza2006	Brain	Cortical region	GABA	20	695,68	273,56	21	574,36	119,6	
table1	130	garcia-alloza2006	Brain	Cortical region	GABA	20	570,39	128,7	21	452,05	133,3	
table1	83	seidl2001	Brain	Cortical region	GABA	7	1,4	0,6	8	0,8	0,2	
table1	83	seidl2001	Brain	Cortical region	GABA	8	1,3	0,8	8	0,5	0,2	
table1	162	yew1999	Brain	Cortical region	GABA	7	25,98	16,48	6	29,08	13,03	
table1	162	yew1999	Brain	Cortical region	GABA	7	14,07	19,18	6	16,98	17,34	
table1	198	sasaki1986	Brain	Cortical region	GABA	10	13,69	2,8	9	11,1	3,33	
table1	198	sasaki1986	Brain	Cortical region	GABA	10	18,57	11,1	9	11,81	2,46	
table1	198	sasaki1986	Brain	Cortical region	GABA	10	12,7	2,75	9	11,42	2,34	
table1	198	sasaki1986	Brain	Cortical region	GABA	10	13,52	3,49	9	10,45	2,36	
table1	198	sasaki1986	Brain	Cortical region	GABA	10	14,04	8,31	9	8,79	3,52	
table1	198	sasaki1986	Brain	Cortical region	GABA	10	10,97	4,94	9	10,56	3,34	
table1	198	sasaki1986	Brain	Cortical region	GABA	10	12,52	1,24	8	11,06	4,36	
table1	129	perry1984	Brain	Cortical region	GABA	4	17,88	7	4	17,73	2,76	
table1	28	mohanakrishnan1995	Brain	Cortical region	GABA	4	1,48	0,14	13	0,79	0,252	
table1	22	smith1983	Brain	Cortical region	GABA	6	60	24	7	65	21	
table1	22	smith1983	Brain	Cortical region	GABA	6	181	57	7	169	24	
table2	107	huang2016	Brain	Subcortical region	GABA	15	0,102	0,024	17	0,107	0,029	
table2	15	liu2014	Brain	Subcortical region	GABA	12	367,15	64,43	12	330,4	62,7	
table2	83	seidl2001	Brain	Subcortical region	GABA	4	3,9	1,3	5	2	0,7	
table2	83	seidl2001	Brain	Subcortical region	GABA	7	1,6	0,9	8	1,4	0,6	
table2	162	yew1999	Brain	Subcortical region	GABA	7	21,2	16,48	6	21,26	7,74	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	23,7	6,61	8	17,01	5,82	
table2	198	sasaki1986	Brain	Subcortical region	GABA	9	19,25	3,07	9	25,33	5,41	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	49,35	8,36	9	48,66	18,37	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	60,84	16,75	9	53,23	17,35	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	20,54	5,38	8	18,59	6,52	
table2	198	sasaki1986	Brain	Subcortical region	GABA	7	28,6	9,18	7	29,06	9,34	
table2	198	sasaki1986	Brain	Subcortical region	GABA	7	20,6	8,92	5	19,33	17,26	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	46,68	11,22	9	43,14	10,38	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	27,52	9,03	9	38,43	19,31	
table2	198	sasaki1986	Brain	Subcortical region	GABA	6	17,06	5,31	5	16,01	10,11	
table2	198	sasaki1986	Brain	Subcortical region	GABA	9	43,51	14,17	9	47,86	13,21	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	16,42	2,22	9	12,8	5,04	
table2	198	sasaki1986	Brain	Subcortical region	GABA	10	13,26	3,58	9	8,54	2,34	
table2	112	tarbit1980	Brain	Subcortical region	GABA	7	1,15	0,52	8	0,94	0,25	
table2	200	mohanakrishnan1997	Brain	Subcortical region	GABA	4	1,42	0,56	12	0,89	0,18	
table2	207	cross1984	Brain	Subcortical region	GABA	13	54,8	34,25	12	40	19,74	
table3	15	liu2014	Brain	Cerebellum	GABA	12	347,5	50,92	12	299,5	50,92	
table3	83	seidl2001	Brain	Cerebellum	GABA	5	1,8	0,5	8	1,1	0,3	
table3	200	mohanakrishnan1997	Brain	Cerebellum	GABA	4	1,44	0,55	13	0,91	0,38	
table4	238	govindpani2020	Brain	Cortical region	GAD	6	893,37	95,3341407891213	6	822,335	169,039287149467	
table4	238	govindpani2020	Brain	Cortical region	GAD	6	1297,145	433,535189575195	6	642,7	412,396093094976	
table4	100	schwab2013	Brain	Cortical region	GAD	4	9,38	2,08	6	7,02	1,67	
table4	100	schwab2013	Brain	Cortical region	GAD	4	10,21	2,67	6	6,96	1,1	
table4	100	schwab2013	Brain	Cortical region	GAD	9	43,44	27,96	10	9,075	12,67	
table4	100	schwab2013	Brain	Cortical region	GAD	9	43,27	27,61	10	7,83	6,76	
table4	240	gleichmann2012	Brain	Cortical region	GAD	10	100	22,13	10	73	44,27	
table4	S5	davies1979	Brain	Cortical region	GAD	14	0,36	0,26	7	0,29	0,26	
table4	S5	davies1979	Brain	Cortical region	GAD	13	0,36	0,32	7	0,18	0,26	
table4	S5	davies1979	Brain	Cortical region	GAD	14	0,49	0,336	7	0,39	0,423	
table4	S5	davies1979	Brain	Cortical region	GAD	13	0,55	0,36	7	0,39	0,26	
table4	S5	davies1979	Brain	Cortical region	GAD	12	0,41	0,38	7	0,35	0,26	
table4	S5	davies1979	Brain	Cortical region	GAD	13	0,54	0,5	7	0,44	0,26	
table4	S5	davies1979	Brain	Cortical region	GAD	14	0,47	0,44	7	0,4	0,26	
table4	S5	davies1979	Brain	Cortical region	GAD	14	0,53	0,411	7	0,49	0,26	
table5	100	schwab2013	Brain	Subcortical region	GAD	5	10,72	3,72	6	6,64	1,16	
table5	100	schwab2013	Brain	Subcortical region	GAD	5	13,29	4,83	6	7,93	1,72	
table5	100	schwab2013	Brain	Subcortical region	GAD	5	11,9	3,88	6	7,61	1,89	
table5	100	schwab2013	Brain	Subcortical region	GAD	5	14,075	6,13	6	7,76	2,22	
table5	100	schwab2013	Brain	Subcortical region	GAD	6	0,169	0,017	6	0,13	0,0105	
table5	100	schwab2013	Brain	Subcortical region	GAD	6	0,174	0,016	6	0,17	0,0235	
table5	208	boissière1998	Brain	Subcortical region	GAD	9	0,142	0,03	5	0,143	0,038	
table5	S5	davies1979	Brain	Subcortical region	GAD	11	0,27	0,26	6	0,21	0,12	
table5	S5	davies1979	Brain	Subcortical region	GAD	10	0,49	0,5	6	0,47	0,26	
table5	S5	davies1979	Brain	Subcortical region	GAD	14	0,68	0,63	7	0,75	0,79	
table5	S5	davies1979	Brain	Subcortical region	GAD	13	0,36	0,288	7	0,17	0,158	
table5	S5	davies1979	Brain	Subcortical region	GAD	10	0,43	0,411	6	0,66	0,39	
table5	S5	davies1979	Brain	Subcortical region	GAD	4	0,035	0,006	5	0,041	0,022	
table5	S5	davies1979	Brain	Subcortical region	GAD	13	0,33	0,32	7	0,14	0,15	
table5	S5	davies1979	Brain	Subcortical region	GAD	7	0,63	0,47	4	0,49	0,12	
table5	S5	davies1979	Brain	Subcortical region	GAD	12	0,23	0	6	0,2	0,12	
table5	S5	davies1979	Brain	Subcortical region	GAD	11	0,76	0,994	6	0,76	0,514	
table5	S5	davies1979	Brain	Subcortical region	GAD	12	0,23	0,24	7	0,37	0,26	
table6	100	schwab2013	Brain	Cerebellum	GAD	4	16,58	7,47	4	12,76	3,9	
table6	100	schwab2013	Brain	Cerebellum	GAD	4	12,07	5,48	4	8,02	2,45	
table6	106	burbaeva2014	Brain	Cerebellum	GAD	13	160,93	85,17	13	47,48	27,11	
table6	106	burbaeva2014	Brain	Cerebellum	GAD	13	263,03	205,29	13	62,26	38,84	
table6	S5	davies1979	Brain	Cerebellum	GAD	12	0,33	0,346	7	0,31	0,185	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	2202,48	351,685489820095	6	951,12	325,145268457039	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	2723,07	468,207716884291	6	1779,01	396,119233754182	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	535,845	117,551012756165	6	309,74	140,845660210033	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	1778,815	240,049994792751	6	1358,65	385,819129385778	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	616,17	201,029623190215	6	244,245	133,827872096959	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	2,21	0	6	0	0	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	1559,53	215,628582057203	6	1229,89	169,039287149467	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	3513,995	466,591053654054	6	2075,48	791,748569559807	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	1445,365	244,373344188764	6	826,345	360,356683509547	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	473,675	88,8552404194598	6	269,035	98,6164570444508	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	27,865	35,1991676037943	6	58,84	42,2659455117237	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	1169,04	192,333934603335	6	1652,89	557,12419454732	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	196,905	46,5770474590221	6	108,395	48,7325984326713	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	869,475	169,039287149467	6	567,475	158,249284832507	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	0	0	6	0	0	
table7	238	govindpani2020	Brain	Cortical region	GABA A receptor	6	32,05	58,5060625063762	6	4,42	0	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	106017241	47722817,1068718	6	5832241	7820735,74973762	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	230017241	56845054,9385808	6	218482758,5	44753866,5238263	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	125714285,5	75912796,7560792	6	125714285,5	0	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	151367816	51121131,3984605	6	151890804,5	121004793,293489	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	99145299	172658785,46585	6	109700854,5	56554949,6208943	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	68671098	55997034,2411601	6	55712716,5	79081705,3105524	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	155803030	25200423,9584456	6	170878787,5	59574559,3260551	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	89465254	91480138,1227237	6	256618644	25198606,4370565	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	314277777,5	73348608,4313453	6	306444444	151868364,052557	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	171055555,5	28305214,6694117	6	137944444	32115531,9109917	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	113333333,3	67360967,9265374	6	46666666,67	14288690,1654187	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	247333333	88181630,7401944	6	124833333	34701104,2811801	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	200666666,5	16738179,0925218	6	225666666,5	133088941,874723	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	102750000	70218705,5515361	6	38500000	25719642,2992234	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	217833333	70626953,4337517	6	190833333	84915644,0082352	
table7	96	kwakowsky2018	Brain	Cortical region	GABA A receptor	6	455666666,5	78383671,7690617	6	353166666,5	177588006,35178	
