"ID"	"SMD"	"CI_lower"	"CI_upper"	"pvalue"	"zvalue"	"I2"	"tau2"	"logLik"	"deviance"	"AIC"	"BIC"	"AICc"	"sum_sample_size_c"	"sum_sample_size_t"	"sum_indiv_size_c"	"sum_indiv_size_t"
"table1"	-0.54	-0.85	-0.23	0.001	-3.376	88.63	0.21	-12.788	36.895	29.576	30.545	30.909	242	254	125	140
"table10"	-0.51	-0.96	-0.06	0.027	-2.218	91.36	0.27	-9.85	27.938	23.7	23.591	26.7	188	235	118	169
"table11"	-0.54	-0.8	-0.28	0	-4.038	35.87	0.02	-1.49	5.902	6.979	5.752	18.979	80	75	43	38
"table12"	-0.53	-1.47	0.41	0.27	-1.103	73.01	0.49	-3.235	9.7	10.471	8.668	22.471	59	50	36	32
"table13"	-0.37	-0.67	-0.08	0.012	-2.515	0	0	-0.846	1.478	5.691	3.888	17.691	73	129	73	129
"table2"	-0.36	-0.64	-0.09	0.01	-2.59	37.03	0.05	-4.501	11.152	13.002	13.161	15.402	187	185	72	80
"table3"	-1.15	-1.77	-0.53	0	-3.639	0	0	-1.531	0.925	7.062	5.259	19.062	21	33	21	33
"table4"	-0.8	-1.37	-0.24	0.005	-2.782	82.53	0.25	-2.783	9.757	9.567	8.339	21.567	155	110	34	29
"table5"	-0.46	-1.28	0.37	0.276	-1.09	85.39	0.42	-2.715	8.408	9.43	7.627	21.43	158	108	25	17
"table6"	-0.83	-1.61	-0.06	0.034	-2.115	81.83	0.37	-2.711	7.254	9.422	7.62	21.422	46	41	29	24
"table7"	-0.67	-0.92	-0.42	0	-5.274	86.23	0.13	-8.428	33.002	20.855	21.651	22.355	517	549	90	96
"table8"	-0.31	-0.59	-0.02	0.037	-2.082	88.2	0.14	-5.757	26.234	15.515	15.674	17.915	836	820	65	63
"table9"	0.01	-0.85	0.87	0.977	0.029	29.2	0.11	-1.382	1.694	6.763	4.15	18.763	13	20	13	20
