"ID"	"SMD"	"CI_lower"	"CI_upper"	"pvalue"	"zvalue"	"I2"	"tau2"	"logLik"	"deviance"	"AIC"	"BIC"	"AICc"	"sum_sample_size_c"	"sum_sample_size_t"	"sum_indiv_size_c"	"sum_indiv_size_t"
"table1"	-0.53	-0.85	-0.21	0.001	-3.201	86.93	0.19	-8.132	26.356	20.264	20.869	21.978	226	227	115	120
"table10"	-0.54	-1.12	0.04	0.069	-1.817	93.6	0.36	-7.888	23.482	19.776	18.995	25.776	121	112	51	46
"table11"	-0.53	-0.72	-0.34	0	-5.544	6.56	0	1.265	2.279	1.469	-0.333	13.469	76	71	39	34
"table2"	-0.28	-0.5	-0.05	0.019	-2.351	20.47	0.02	-1.693	6.604	7.386	6.969	11.386	170	161	55	56
"table3"	-1.13	-1.85	-0.41	0.002	-3.079	0	0	-1.09	0.915	6.179	3.566	18.179	17	20	17	20
"table4"	-1.03	-1.46	-0.61	0	-4.768	24.75	0.04	-0.986	3.025	5.973	4.17	17.973	48	54	20	22
"table5"	-0.68	-1.89	0.52	0.265	-1.114	74.43	0.57	-2.068	4.109	8.137	5.523	20.137	41	41	14	11
"table6"	-1.11	-1.92	-0.3	0.007	-2.688	84.17	0.29	-1.259	4.702	6.519	3.905	18.519	34	34	17	17
"table7"	-0.73	-0.95	-0.51	0	-6.471	74.93	0.08	-6.675	26.284	17.349	17.954	19.063	493	497	84	83
"table8"	-0.3	-0.69	0.1	0.14	-1.477	89.53	0.2	-5.224	20.183	14.447	14.031	18.447	788	774	50	45
