"table.id"	"id"	"study"	"sample"	"region"	"marker"	"n_c"	"m_c"	"sd_c"	"n_t"	"m_t"	"sd_t"	"notes"	"yi"	"vi"	"ci_low"	"ci_high"	"n_samples_c"	"n_samples_t"	"weights"
"table1"	"142"	"zhang2019"	"Brain"	"Whole brain"	"GABA"	11	1.41	0.3	11	1.23	0.27	NA	-0.606704186666816	0.191897102213467	-1.46528721466327	0.251878841329642	11	11	3.84986988192135
"table1"	"107"	"huang2016"	"Brain"	"Whole brain"	"GABA"	15	0.11	0.009	17	0.107	0.023	NA	0.00916443627749537	0.00196209660891743	-0.0776532654047071	0.0959821379596978	30	34	9.43357281444503
"table1"	"15"	"liu2014"	"Brain"	"Whole brain"	"GABA"	12	242.4	50.92	12	266.9	60.96	NA	-0.0637954235362999	0.00355701089022589	-0.180689011296978	0.0530981642243779	24	24	9.3200645440445
"table1"	"225"	"bai2014"	"Brain"	"Whole brain"	"GABA"	15	0.104	0.022	15	0.098	0.008	NA	-0.611253419679484	0.00844940127338661	-0.791414533828001	-0.431092305530966	30	30	8.98831278510699
"table1"	"18"	"gueli2013"	"Brain"	"Whole brain"	"GABA"	13	0.9	0.28	13	0.6	0.16	NA	-1.27396874042017	0.190304043875435	-2.12898052277118	-0.418956958069155	13	13	3.86907779700616
"table1"	"17"	"aisa2010"	"Brain"	"Whole brain"	"GABA"	16	704.39	253.64	19	555.33	139.35	NA	-0.812817348460693	0.0110829088700863	-1.01915333184203	-0.606481365079359	32	38	8.81932965051997
"table1"	"130"	"garcia-alloza2006"	"Brain"	"Whole brain"	"GABA"	20	695.68	273.56	21	574.36	119.6	NA	-0.722248896473407	0.0075519819033671	-0.892573960678333	-0.551923832268482	40	42	9.0473861591425
"table1"	"83"	"seidl2001"	"Brain"	"Whole brain"	"GABA"	7	1.4	0.6	8	0.8	0.2	NA	-0.999603750177078	0.0422354933408407	-1.40240135250428	-0.596806147849879	26	29	7.21479624829721
"table1"	"162"	"yew1999"	"Brain"	"Whole brain"	"GABA"	7	25.98	16.48	6	29.08	13.03	NA	0.114331464273008	0.0124075189710238	-0.10398704890022	0.332649977446237	21	18	8.73671315874935
"table1"	"198"	"sasaki1986"	"Brain"	"Whole brain"	"GABA"	10	13.69	2.8	9	11.1	3.33	NA	-0.341890230968552	0.00863158003007476	-0.523983227108046	-0.159797234829058	188	167	8.97641478806186
"table1"	"129"	"perry1984"	"Brain"	"Whole brain"	"GABA"	4	17.88	7	4	17.73	2.76	NA	-0.0244885853440957	0.500069820241873	-1.41048917045619	1.361511999768	4	4	1.96385593701049
"table1"	"112"	"tarbit1980"	"Brain"	"Whole brain"	"GABA"	7	1.15	0.52	8	0.94	0.25	NA	-0.496420186901236	0.278793276040163	-1.53129838717154	0.538458013369064	7	8	3.02949555851642
"table1"	"200"	"mohanakrishnan1997"	"Brain"	"Whole brain"	"GABA"	4	1.42	0.56	12	0.89	0.18	NA	-1.64588860251701	0.443762736237052	-2.95152878166791	-0.340248423366112	4	12	2.15692014262792
"table1"	"28"	"mohanakrishnan1995"	"Brain"	"Whole brain"	"GABA"	4	1.48	0.14	13	0.79	0.252	NA	-2.79919421948469	0.62228212311091	-4.34530907640337	-1.253079362566	4	13	1.64439008893961
