TABLE ID	ID	STUDY	SAMPLE 	REGION	MARKER	n_c	m_c	sd_c	n_t	m_t	sd_t	Notes
table1	142	zhang2019	Brain	Whole brain	GABA	11	1,41	0,3	11	1,23	0,27	
table1	15	liu2014	Brain	Whole brain	GABA	12	242,4	50,92	12	266,9	60,96	
table1	15	liu2014	Brain	Whole brain	GABA	12	367,15	64,43	12	330,4	62,7	
table1	18	gueli2013	Brain	Whole brain	GABA	13	0,9	0,28	13	0,6	0,16	
table1	17	aisa2010	Brain	Whole brain	GABA	16	704,39	253,64	19	555,33	139,35	
table1	17	aisa2010	Brain	Whole brain	GABA	16	579,94	126,88	19	457,44	138,17	
table1	130	garcia-alloza2006	Brain	Whole brain	GABA	20	695,68	273,56	21	574,36	119,6	
table1	130	garcia-alloza2006	Brain	Whole brain	GABA	20	570,39	128,7	21	452,05	133,3	
table1	83	seidl2001	Brain	Whole brain	GABA	7	1,4	0,6	8	0,8	0,2	
table1	83	seidl2001	Brain	Whole brain	GABA	8	1,3	0,8	8	0,5	0,2	
table1	83	seidl2001	Brain	Whole brain	GABA	4	3,9	1,3	5	2	0,7	
table1	83	seidl2001	Brain	Whole brain	GABA	7	1,6	0,9	8	1,4	0,6	
table1	162	yew1999	Brain	Whole brain	GABA	7	25,98	16,48	6	29,08	13,03	
table1	162	yew1999	Brain	Whole brain	GABA	7	14,07	19,18	6	16,98	17,34	
table1	162	yew1999	Brain	Whole brain	GABA	7	21,2	16,48	6	21,26	7,74	
table1	198	sasaki1986	Brain	Whole brain	GABA	10	13,69	2,8	9	11,1	3,33	
table1	198	sasaki1986	Brain	Whole brain	GABA	10	18,57	11,1	9	11,81	2,46	
table1	198	sasaki1986	Brain	Whole brain	GABA	10	12,7	2,75	9	11,42	2,34	
table1	198	sasaki1986	Brain	Whole brain	GABA	10	13,52	3,49	9	10,45	2,36	
table1	198	sasaki1986	Brain	Whole brain	GABA	10	14,04	8,31	9	8,79	3,52	
table1	198	sasaki1986	Brain	Whole brain	GABA	10	10,97	4,94	9	10,56	3,34	
